Wavenumber	Reflectance
1994.54	0.07004
1992.61	0.07072
1990.68	0.07107
1988.75	0.07111
1986.82	0.07124
1984.89	0.07126
1982.97	0.07134
1981.04	0.07141
1979.11	0.07135
1977.18	0.07115
1975.25	0.07078
1973.32	0.07022
1971.39	0.06985
1969.46	0.06928
1967.53	0.06854
1965.61	0.06815
1963.68	0.06775
1961.75	0.06691
1959.82	0.06584
1957.89	0.06492
1955.96	0.06432
1954.03	0.06352
1952.10	0.06228
1950.17	0.06121
1948.24	0.06025
1946.32	0.05897
1944.39	0.05772
1942.46	0.05667
1940.53	0.05575
1938.60	0.05468
1936.67	0.05367
1934.74	0.05294
1932.81	0.05196
1930.88	0.05095
1928.96	0.05010
1927.03	0.04899
1925.10	0.04787
1923.17	0.04719
1921.24	0.04657
1919.31	0.04591
1917.38	0.04534
1915.45	0.04486
1913.52	0.04445
1911.59	0.04406
1909.67	0.04399
1907.74	0.04407
1905.81	0.04401
1903.88	0.04384
1901.95	0.04407
1900.02	0.04424
1898.09	0.04411
1896.16	0.04390
1894.23	0.04387
1892.30	0.04382
1890.38	0.04384
1888.45	0.04375
1886.52	0.04334
1884.59	0.04316
1882.66	0.04312
1880.73	0.04291
1878.80	0.04255
1876.87	0.04227
1874.94	0.04198
1873.02	0.04163
1871.09	0.04110
1869.16	0.04058
1867.23	0.03982
1865.30	0.03896
1863.37	0.03838
1861.44	0.03793
1859.51	0.03750
1857.58	0.03702
1855.65	0.03655
1853.73	0.03595
1851.80	0.03514
1849.87	0.03436
1847.94	0.03387
1846.01	0.03358
1844.08	0.03327
1842.15	0.03284
1840.22	0.03234
1838.29	0.03189
1836.37	0.03156
1834.44	0.03124
1832.51	0.03088
1830.58	0.03085
1828.65	0.03106
1826.72	0.03121
1824.79	0.03121
1822.86	0.03108
1820.93	0.03107
1819.00	0.03117
1817.08	0.03110
1815.15	0.03099
1813.22	0.03091
1811.29	0.03074
1809.36	0.03055
1807.43	0.03019
1805.50	0.02956
1803.57	0.02899
1801.64	0.02847
1799.71	0.02793
1797.79	0.02720
1795.86	0.02618
1793.93	0.02522
1792.00	0.02436
1790.07	0.02338
1788.14	0.02278
1786.21	0.02232
1784.28	0.02201
1782.35	0.02201
1780.43	0.02204
1778.50	0.02201
1776.57	0.02215
1774.64	0.02215
1772.71	0.02246
1770.78	0.02295
1768.85	0.02343
1766.92	0.02400
1764.99	0.02458
1763.06	0.02522
1761.14	0.02591
1759.21	0.02645
1757.28	0.02695
1755.35	0.02745
1753.42	0.02819
1751.49	0.02908
1749.56	0.02998
1747.63	0.03053
1745.70	0.03105
1743.77	0.03150
1741.85	0.03198
1739.92	0.03243
1737.99	0.03272
1736.06	0.03287
1734.13	0.03287
1732.20	0.03275
1730.27	0.03274
1728.34	0.03250
1726.41	0.03194
1724.49	0.03155
1722.56	0.03150
1720.63	0.03145
1718.70	0.03124
1716.77	0.03084
