Wavenumber	Reflectance									
2555.86573	0.47939									
2553.936717	0.47905									
2552.007814	0.47865									
2550.078896	0.47819									
2548.149969	0.47759									
2546.220976	0.47705									
2544.291795	0.47652									
2542.36282	0.47585									
2540.433798	0.47478									
2538.504802	0.47305									
2536.575967	0.47071									
2534.647041	0.46791									
2532.718096	0.46497									
2530.78901	0.46197									
2528.859854	0.45904									
2526.930892	0.45643									
2525.001938	0.45403									
2523.072934	0.45190									
2521.144015	0.45016									
2519.215124	0.44896									
2517.286204	0.44796									
2515.357199	0.44716									
2513.428684	0.44682									
2511.499718	0.44709									
2509.570876	0.44802									
2507.641788	0.44969									
2505.712837	0.45203									
2503.783906	0.45490									
2501.854938	0.45803									
2499.926065	0.46124									
2497.996482	0.46417									
2496.067508	0.46698									
2494.138525	0.46965									
2492.209602	0.47185									
2490.280684	0.47345									
2488.351776	0.47485									
2486.422888	0.47618									
2484.493777	0.47745									
2482.565563	0.47879									
2480.636585	0.48012									
2478.707653	0.48146									
2476.778775	0.48272									
2474.850017	0.48379									
2472.92102	0.48479									
2470.991792	0.48573									
2469.063011	0.48639									
2467.133708	0.48679									
2465.204866	0.48720									
2463.275821	0.48760									
2461.346946	0.48786									
2459.417883	0.48800									
2457.488943	0.48813									
2455.560132	0.48813									
2453.630975	0.48820									
2451.701962	0.48826									
2449.773098	0.48846									
2447.844092	0.48853									
2445.91501	0.48846									
2443.986159	0.48853									
2442.057187	0.48860									
2440.128102	0.48860									
2438.199268	0.48866									
2436.270632	0.48833									
2434.341667	0.48820									
2432.412914	0.48833									
2430.483848	0.48840									
2428.555067	0.48813									
2426.62593	0.48800									
2424.697033	0.48780									
2422.768148	0.48766									
2420.838989	0.48746									
2418.909798	0.48760									
2416.980935	0.48740									
2415.052053	0.48726									
2413.122929	0.48713									
2411.194094	0.48699									
2409.265089	0.48699									
2407.336039	0.48673									
2405.406546	0.48646									
2403.477601	0.48639									
2401.548518	0.48619									
2399.619766	0.48599									
2397.690774	0.48586									
2395.761668	0.48553									
2393.832855	0.48533									
2391.903941	0.48519									
2389.97562	0.48479									
2388.046642	0.48439									
2386.117758	0.48413									
2384.188804	0.48379									
2382.259618	0.48339									
2380.330945	0.48259									
2378.401828	0.48139									
2376.472899	0.47999									
2374.543544	0.47839									
2372.61473	0.47679									
2370.685731	0.47512									
2368.756724	0.47358									
2366.827885	0.47245									
2364.898996	0.47158									
2362.970066	0.47091									
2361.041047	0.47051									
2359.11178	0.47051									
2357.182997	0.47111									
2355.253925	0.47211									
2353.324796	0.47358									
2351.396005	0.47538									
2349.467171	0.47638									
2347.538083	0.47512									
2345.609244	0.47305									
2343.68099	0.47158									
2341.751955	0.47078									
2339.822973	0.47018									
2337.89405	0.46978									
2335.965195	0.46951									
2334.036143	0.46938									
2332.107119	0.46938									
2330.178187	0.46938									
2328.248865	0.46951									
2326.319867	0.46985									
2324.390983	0.47005									
2322.461951	0.47025									
2320.532995	0.47058									
2318.603961	0.47085									
2316.675019	0.47105									
2314.746015	0.47138									
2312.816584	0.47151									
2310.88759	0.47158									
2308.958772	0.47165									
2307.029871	0.47171									
2305.100896	0.47151									
2303.171855	0.47138									
2301.243021	0.47118									
2299.313873	0.47091									
2297.385688	0.47065									
2295.456729	0.47038									
2293.527745	0.46998									
2291.599007	0.46971									
2289.669946	0.46938									
2287.740937	0.46904									
2285.811936	0.46864									
2283.882951	0.46824									
2281.95347	0.46778									
2280.024543	0.46744									
2278.095657	0.46698									
2276.166819	0.46651									
2274.23778	0.46598									
2272.308858	0.46557									
2270.379958	0.46511									
2268.450882	0.46457									
2266.522667	0.46404									
2264.593778	0.46371									
2262.664791	0.46324									
2260.735918	0.46284									
2258.806913	0.46230									
2256.878039	0.46177									
2254.949049	0.46124									
2253.019954	0.46077									
2251.090811	0.46044									
2249.161833	0.45990									
2247.233027	0.45930									
2245.303896	0.45883									
2243.374955	0.45823									
2241.445959	0.45757									
2239.516967	0.45710									
2237.588188	0.45657									
2235.65888	0.45590									
2233.730052	0.45530									
2231.801013	0.45463									
2229.871971	0.45410									
2227.943184	0.45343									
2226.014163	0.45276									
2224.085215	0.45203									
2222.156298	0.45136									
2220.227668	0.45056									
2218.298594	0.44976									
2216.369627	0.44869									
2214.440727	0.44762									
2212.511705	0.44662									
2210.582767	0.44556									
2208.653921	0.44415									
2206.724932	0.44269									
2204.795616	0.44102									
2202.866709	0.43915									
2200.937639	0.43728									
2199.008753	0.43535									
2197.079817	0.43341									
2195.150793	0.43141									
2193.221931	0.42941									
2191.292998	0.42741									
2189.36386	0.42540									
2187.434862	0.42360									
2185.505869	0.42180									
2183.57689	0.42000									
2181.647886	0.41826									
2179.719104	0.41653									
2177.790125	0.41453									
2175.861149	0.41259									
2173.932703	0.41046									
2172.003569	0.40839									
2170.074747	0.40625									
2168.145776	0.40418									
2166.216852	0.40198									
2164.287797	0.39978									
2162.358808	0.39758									
2160.429894	0.39531									
2158.500692	0.39304									
2156.571815	0.39070									
2154.642808	0.38830									
2152.713773	0.38610									
2150.784813	0.38370									
2148.856074	0.38123									
2146.927011	0.37896									
2144.998096	0.37662									
2143.06874	0.37456									
2141.139781	0.37275									
2139.211041	0.37109									
2137.282027	0.36948									
2135.353024	0.36802									
2133.424041	0.36675									
2131.495086	0.36535									
2129.566125	0.36388									
2127.637664	0.36241									
2125.708762	0.36068									
2123.779745	0.35894									
2121.85076	0.35707									
2119.92186	0.35500									
2117.99283	0.35287									
2116.063904	0.35080									
2114.135048	0.34866									
2112.205466	0.34640									
2110.276642	0.34439									
2108.347737	0.34232									
2106.418761	0.34032									
2104.489725	0.33825									
2102.560858	0.33619									
2100.631906	0.33418									
2098.702922	0.33238									
2096.77374	0.33065									
2094.844723	0.32891									
2092.915748	0.32731									
2090.986737	0.32571									
2089.057961	0.32424									
2087.128995	0.32277									
2085.200065	0.32137									
2083.270965	0.31990									
2081.342746	0.31817									
2079.413768	0.31663									
2077.484867	0.31510									
2075.555836	0.31343									
2073.626902	0.31163									
2071.698073	0.30989									
2069.768973	0.30803									
2067.84017	0.30622									
2065.910691	0.30449									
2063.981742	0.30282									
2062.052777	0.30115									
2060.123764	0.29955									
2058.194884	0.29795									
2056.265807	0.29628									
2054.336966	0.29475									
2052.407865	0.29328									
2050.479399	0.29181									
2048.550566	0.29041									
2046.621715	0.28901									
2044.69273	0.28767									
2042.763831	0.28640									
2040.834777	0.28534									
2038.905955	0.28420									
2036.976833	0.28320									
2035.047631	0.28247									
2033.118732	0.28173									
2031.189731	0.28093									
2029.260846	0.28013									
2027.331921	0.27946									
2025.402928	0.27873									
2023.47408	0.27793									
2021.54502	0.27733									
2019.61572	0.27646									
2017.6868	0.27559									
2015.757702	0.27479									
2013.828842	0.27419									
2011.899946	0.27346									
2009.970903	0.27259									
2008.041927	0.27172									
2006.112987	0.27086									
2004.184497	0.26992									
2002.255701	0.26899									
2000.326573	0.26799									
1998.397765	0.26685									
1996.468686	0.26559									
1994.539708	0.26418									
1992.610881	0.26265									
1990.681976	0.26138									
1988.752649	0.25985									
1986.823664	0.25818									
1984.894674	0.25651									
1982.965887	0.25471									
1981.036881	0.25271									
1979.107904	0.25064									
1977.178965	0.24877									
1975.250038	0.24703									
1973.320782	0.24557									
1971.391793	0.24430									
1969.462848	0.24316									
1967.533997	0.24230									
1965.605056	0.24196									
1963.676038	0.24176									
1961.747108	0.24196									
1959.818123	0.24236									
1957.88967	0.24283									
1955.960761	0.24350									
1954.031678	0.24443									
1952.102777	0.24537									
1950.173838	0.24617									
1948.244913	0.24710									
1946.315822	0.24817									
1944.386955	0.24897									
1942.457758	0.24977									
1940.528808	0.25110									
1938.599926	0.25224									
1936.670938	0.25331									
1934.742004	0.25424									
1932.813023	0.25524									
1930.88397	0.25611									
1928.955043	0.25711									
1927.025695	0.25811									
1925.096868	0.25891									
1923.16783	0.25978									
1921.238926	0.26085									
1919.309908	0.26118									
1917.381048	0.26191									
1915.452024	0.26305									
1913.52307	0.26365									
1911.594636	0.26378									
1909.665599	0.26365									
1907.736629	0.26365									
1905.807776	0.26352									
1903.878795	0.26312									
1901.949772	0.26272									
1900.020864	0.26225									
1898.091901	0.26158									
1896.162717	0.26091									
1894.233718	0.26058									
1892.30488	0.26005									
1890.375892	0.25925									
1888.446875	0.25918									
1886.517947	0.25945									
1884.589013	0.25965									
1882.659979	0.25991									
1880.731706	0.26018									
1878.802791	0.26065									
1876.873812	0.26118									
1874.944783	0.26178									
1873.015856	0.26238									
1871.086902	0.26238									
